ID	Kingdom	Phylum	Fungal_Class	Order	Family	Genus
Emergomyces_pasteurianus	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces
Emericellopsis_atlantica	Fungi	Ascomycota	Sordariomycetes	Hypocreales		Emericellopsis
Emmonsia_crescens	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emmonsia
Encephalitozoon_cuniculi	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Encephalitozoon_hellem	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Encephalitozoon_intestinalis	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Encephalitozoon_romaleae	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Endocarpon_pusillum	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon
Endogone_sp_FLAS-F59071	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Endogone
Enterocytozoon_bieneusi	Fungi	Microsporidia			Enterocytozoonidae	Enterocytozoon
Enterocytozoon_hepatopenaei	Fungi	Microsporidia			Enterocytozoonidae	Enterocytozoon
Enterospora_canceri	Fungi	Microsporidia			Enterocytozoonidae	Enterospora
Entomophthora_muscae	Fungi	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophthora
Entomortierella_beljakovae	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella
Entomortierella_chlamydospora	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella
Entomortierella_lignicola	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella
Entomortierella_parvispora	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella
Epichloe_festucae	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Epichloe
Epicoccum_nigrum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum
Eremomyces_bilateralis	Fungi	Ascomycota	Dothideomycetes	Eremomycetales	Eremomycetaceae	Eremomyces
Eremothecium_cymbalariae	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium
Eremothecium_gossypii	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium
Erysiphe_necator	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe
Erysiphe_pulchra	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe
Escovopsis_weberi	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Escovopsis
Eutypa_lata	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa
Exidia_glandulosa	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Exidia
Exophiala_aquamarina	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
Exophiala_dermatitidis	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
Exophiala_mesophila	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
Exophiala_oligosperma	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
Exophiala_sideris	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
Exophiala_spinifera	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
Exophiala_xenobiotica	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
Exserohilum_turcicum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum
Fibroporia_radiculosa	Fungi	Basidiomycota	Agaricomycetes	Polyporales		Fibroporia
Fibularhizoctonia_sp_CBS_109695	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Fibularhizoctonia
Filobasidium_floriforme	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
Fistulina_hepatica	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Fistulinaceae	Fistulina
